x	y	class	color	
33619.99609375	25978.318359375		-65536
33741.26953125	25985.767578125		-65536
34105.125	25980.65625		-65536
34177.51953125	25989.30078125		-65536
34198.65625	25982.994140625		-65536
34362.94140625	25982.1953125		-65536
34402.41015625	25985.544921875		-65536
34470.59375	25989.3515625		-65536
34660.1875	25983.865234375		-65536
34685.390625	25976.015625		-65536
34785.1328125	25981.3125		-65536
34864.7421875	26028.46875		-65536
34909.91015625	25982.8125		-65536
34953.171875	26033.158203125		-65536
34994.9140625	25996.201171875		-65536
35328.09765625	25982.65234375		-65536
35353.234375	25984.96484375		-65536
33999.1328125	26004.87890625		-65536
34042.07421875	25988.412109375		-65536
34611.328125	25987.95703125		-65536
34707.51171875	25987.302734375		-65536
34823.8359375	25986.9765625		-65536
35207.8046875	25984.044921875		-65536
34134.53515625	25986.224609375		-65536
33670.98046875	25991.45703125		-65536
34278.0703125	25988.634765625		-65536
34527.421875	25993.107421875		-65536
35133.4453125	25996.998046875		-65536
33617.37890625	25995.759765625		-65536
33926.03515625	25991.013671875		-65536
35041.28125	25986.890625		-65536
34580.671875	25989.1171875		-65536
35271.82421875	25992.98828125		-65536
33872.7578125	26003.3203125		-65536
34279.7734375	26016.671875		-65536
34321.59765625	26000.859375		-65536
33678.75	26026.439453125		-65536
34723.91796875	26001.283203125		-65536
34827.6015625	26028.326171875		-65536
33844.34765625	26002.65625		-65536
34067.12109375	25997.80859375		-65536
34752.84375	26003.90625		-65536
35092.00390625	26001.69140625		-65536
34117.0546875	25999.779296875		-65536
34248.0625	26012.923828125		-65536
34880.796875	26064.82421875		-65536
34918.015625	26022.892578125		-65536
35056.2109375	26017.517578125		-65536
33820.26953125	26020.169921875		-65536
33949.66015625	26007.990234375		-65536
34440.15234375	26001.869140625		-65536
34636.02734375	26001.34765625		-65536
35230.10546875	26001.5		-65536
33755.49609375	26011.03125		-65536
34349.16015625	26016.609375		-65536
34561.0078125	26004.84375		-65536
34503.859375	26021.650390625		-65536
34779.41015625	26016.9140625		-65536
